Organisation.1,Relationship,Organisation.2
Netherlands - Ministry of Foreign Affairs,provides transaction funding to,Norad - Norwegian Agency for Development Cooperation
Netherlands Red Cross,receives activity funding from,VEI (Vitens-Evides International)
Hivos,receives activity funding from,Simavi
The United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA),receives transaction funding from,European Commission - Neighbourhood and Enlargement Negotiations
Netherlands Enterprise Agency,has project implemented by,Sociaal-Economische Raad
Giro555 (Stichting Samenwerkende Hulporganisaties),provides transaction funding to,Save the Children Netherlands
UK - Department of Health and Social Care (DHSC),provides transaction funding to,Oxford Policy Management
CARE International UK,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
Cordaid,receives transaction funding from,Oxfam Novib
The International Rescue Committee,has project implemented by,King's College London
ODI Sales Limited,receives transaction funding from,DAI Europe
Netherlands Space Office,has project implemented by,ICCO Cooperation
Viva Salud,is accountable to,Solidagro
United Nations Children's Fund (UNICEF),receives activity funding from,United Nations High Commissioner for Refugees (UNHCR)
Overseas Development Institute,receives transaction funding from,Netherlands - Ministry of Foreign Affairs
"IDH, the Sustainable Trade Initiative",receives transaction funding from,Netherlands - Ministry of Foreign Affairs
"Natural Resources Institute, University of Greenwich.",is accountable to,KPMG LLP
Integrity Research and Consultancy Ltd,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
International Labour Organization (ILO),receives activity funding from,World Health Organization
ActionAid UK,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
Leonard Cheshire Disability,has project implemented by,Christian Blind Mission (UK) Ltd.
Djapo,receives activity funding from,Belgian Development Cooperation
CARE International UK,has project implemented by,Oxfam GB
United Nations Children's Fund (UNICEF),receives activity funding from,Ministry of Foreign Affairs - United Arab Emirates (UAE)
International Organization for Migration (IOM),receives transaction funding from,France - Ministry for Europe and Foreign Affairs
Akvo Foundation,has project implemented by,Near East Foundation (NEF USA)
Plan International Finland,receives activity funding from,Finland - Ministry for Foreign Affairs
Rainforest Action Network,has budget/direction managed by,KPMG LLP
International Centre of Insect Physiology and Ecology (icipe),receives activity funding from,UK - Medical Research Council
ULB-Coopération,has project implemented by,Eclosio
Ireland - Department of Foreign Affairs and Trade,provides transaction funding to,The World Bank
International Rescue Committee UK,receives transaction funding from,Elrha
UN Pooled Funds,has project implemented by,The United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA)
Belgian Development Cooperation,provides transaction funding to,Croix-Rouge de Belgique Communauté francophone - Activités internationales ASBL
Y Care International,receives transaction funding from,Restless Development
Practical Action,receives activity funding from,WaterAid
Afghanistan Public Policy Research Organization (APPRO),receives transaction funding from,"Sweden, through Swedish International Development Cooperation Agency (Sida)"
Children in Crossfire,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
TEAR fund Nederland,receives activity funding from,Terre des Hommes Netherlands
"UK - Foreign, Commonwealth and Development Office",provides transaction funding to,International NGO Safety Orgnisation
International Development Law Organization (IDLO),receives transaction funding from,United Nations Children's Fund (UNICEF)
European Commission - Neighbourhood and Enlargement Negotiations,is accountable to,The World Bank
Coffey International Development,has project implemented by,KPMG LLP
Louvain Coopération,has project implemented by,Médecins Sans Vacances
United Nations Development Programme (UNDP),receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
Iles de Paix,is accountable to,Autre Terre asbl
UK - Department of Health and Social Care (DHSC),has project implemented by,Itad
WYG International B.V.,provides transaction funding to,"Natural Resources Institute, University of Greenwich."
ChildHope UK,receives transaction funding from,Girls’ Education Challenge – Fund Manager PwC
European Commission - Humanitarian Aid & Civil Protection,has project implemented by,UN Women
Christian Blind Mission (UK) Ltd.,receives transaction funding from,MannionDaniels
International Committee of the Red Cross (ICRC),receives activity funding from,Ireland - Department of Foreign Affairs and Trade
Plan International UK,is accountable to,Oxfam GB
Practical Action,receives activity funding from,Mott MacDonald Limited
Charity Projects Ltd (Comic Relief),provides transaction funding to,Restless Development
Simavi,has project implemented by,Network For Enterprise Enhancement and Development Support
"UK - Foreign, Commonwealth and Development Office",has project implemented by,Maxwell Stamp PLC
Save the Children Netherlands,provides transaction funding to,Terre des Hommes Netherlands
MannionDaniels,has project implemented by,Learning for Life
MannionDaniels,provides transaction funding to,Water Witness International
Slovenia - Ministry of Foreign Affairs,has project implemented by,International Committee of the Red Cross (ICRC)
International Development Law Organization (IDLO),receives transaction funding from,AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development
Handicap International UK,has project implemented by,International Rescue Committee UK
Hivos,receives transaction funding from,Finland - Ministry for Foreign Affairs
GEOMOUN ASBL,receives activity funding from,Belgian Development Cooperation
Voluntary Service Overseas (VSO),has project implemented by,Raleigh International
African Revival,receives transaction funding from,"UK - Foreign, Commonwealth and Development Office"
British Council,receives activity funding from,Palladium International Ltd (UK)
ZOA,provides transaction funding to,Norwegian Refugee Council
Charity Projects Ltd (Comic Relief),receives transaction funding from,Oxfam GB
Dorcas Aid International,receives transaction funding from,World Vision Netherlands
IMC WORLDWIDE,provides transaction funding to,Maxwell Stamp PLC
Solidagro,is accountable to,Viva Salud
World Resources Institute,provides transaction funding to,University of Leeds
PwC,provides transaction funding to,Practical Action
HelpAge International,receives activity funding from,Belgian Development Cooperation
CARE International Afghanistan,receives activity funding from,Girls’ Education Challenge – Fund Manager PwC
Netherlands Enterprise Agency,has project implemented by,IHE Delft Institute for Water Education
Save the Children Netherlands,provides transaction funding to,Plan International Netherlands
Publish What You Fund,receives activity funding from,Plan International UK
United Nations Central Emergency Response Fund (CERF),is accountable to,World Health Organization
ACTION AGAINST HUNGER SPAIN,has project implemented by,Relief International UK
International Rescue Committee UK,receives activity funding from,"Sweden, through Swedish International Development Cooperation Agency (Sida)"
CGIAR,receives activity funding from,Food and Agriculture Organization of the United Nations (FAO)
